RK,TIERS,PLAYER NAME,TEAM,POS,BYE WEEK
427,12,Khalil Herbert,CHI,RB116,10
428,12,Jeremy McNichols,TEN,RB117,13
429,12,Mitchell Trubisky,BUF,QB41,7
430,12,Nick Folk,NE,K36,14
431,12,Nick Boyle,BAL,TE58,8
432,12,Kene Nwangwu,MIN,RB118,7
433,12,Jaret Patterson,WAS,RB119,9
434,12,Devin Funchess,GB,WR148,13
435,12,Noah Gray,KC,TE59,12
436,12,Damiere Byrd,CHI,WR149,10
437,12,Davis Mills,HOU,QB42,10
438,12,Ryan Griffin,NYJ,TE60,6
439,12,Tamorrion Terry,SEA,WR150,9
440,12,Pooka Williams Jr.,CIN,RB120,10
441,12,Antonio Callaway,KC,WR151,12
442,12,Nick Vannett,NO,TE61,6
443,12,Richie James Jr.,SF,WR152,6
444,12,Freddie Swain,SEA,WR153,9
445,12,Kenny Stills,BUF,WR154,7
446,12,Equanimeous St. Brown,GB,WR155,13
447,12,Brycen Hopkins,LAR,TE62,11
448,12,Ihmir Smith-Marsette,MIN,WR156,7
449,12,Ty Montgomery,NO,RB121,6
450,12,Richard Rodgers,PHI,TE63,14
451,12,Frank Darby,ATL,WR157,6
452,12,Sage Surratt,DET,WR158,9
453,12,J.J. Arcega-Whiteside,PHI,WR159,14
454,12,Alex Collins,SEA,RB122,9
455,12,LeSean McCoy,TB,RB123,9
456,12,Shi Smith,CAR,WR160,13
457,12,Trenton Cannon,CAR,RB124,13
458,12,Quez Watkins,PHI,WR161,14
459,12,Simi Fehoko,DAL,WR162,7
460,12,Darren Fells,DET,TE64,9
461,12,Sam Ficken,NYJ,K37,6
462,12,Ross Dwelley,SF,TE65,6
463,12,Seth Williams,DEN,WR163,11
464,12,Marquez Stevenson,BUF,WR164,7
465,12,Travis Homer,SEA,RB125,9
466,12,Trey Burton,IND,TE66,14
467,12,Adam Shaheen,MIA,TE67,14
468,12,Kahale Warring,HOU,TE68,10
469,12,Patrick Laird,MIA,RB126,14
470,12,Jace Sternberger,GB,TE69,13
471,13,Gerrid Doaks,MIA,RB127,14
472,13,Jacoby Brissett,MIA,QB43,14
473,13,Isaiah McKenzie,BUF,WR165,7
474,13,C.J. Ham,MIN,RB128,7
475,13,Jakeem Grant Sr.,MIA,WR166,14
476,13,Ameer Abdullah,MIN,RB129,7
477,13,Jaelon Darden,TB,WR167,9
478,13,John Hightower,PHI,WR168,14
479,13,Albert Wilson,MIA,WR169,14
480,13,Devonta Freeman,BUF,RB130,7
481,13,Chad Beebe,MIN,WR170,7
482,13,Patrick Ricard,BAL,RB131,8
483,13,Alec Ingold,LV,RB132,8
484,13,Demetric Felton,CLE,WR171,13
485,13,Jaylen Samuels,PIT,RB133,7
486,13,Reggie Bonnafon,CAR,RB134,13
487,13,Taylor Heinicke,WAS,QB44,9
488,13,Andre Roberts,HOU,WR172,10
489,13,Isaiah Coulter,HOU,WR173,10
490,13,Cameron Batson,TEN,WR174,13
491,13,Kenny Yeboah,NYJ,TE70,6
492,13,Cedrick Wilson,DAL,WR175,7
493,13,Josh Oliver,BAL,TE71,8
494,13,Phillip Dorsett II,JAC,WR176,7
495,13,Dion Lewis,NYG,RB135,10
496,13,JaMycal Hasty,SF,RB136,6
497,13,Blake Bell,KC,TE72,12
498,13,Corey Clement,NYG,RB137,10
499,13,Javon Wims,CHI,WR177,10
500,13,Marcedes Lewis,GB,TE73,13
501,13,Cade Johnson,SEA,WR178,9
502,13,Darrell Daniels,ARI,TE74,12
503,13,Marcus Mariota,LV,QB45,8
504,13,D'Onta Foreman,TEN,RB138,13
505,13,D'Ernest Johnson,CLE,RB139,13
506,13,Phillip Walker,CAR,QB46,13
507,13,Tommy Tremble,CAR,TE75,13
508,13,Durham Smythe,MIA,TE76,14
509,13,DaeSean Hamilton,DEN,WR179,11
510,13,John Bates,WAS,TE77,9
511,13,Tajae Sharpe,ATL,WR180,6
512,13,Kylen Granson,IND,TE78,14
513,13,Caleb Huntley,ATL,RB140,6
514,13,Colby Parkinson,SEA,TE79,9
515,13,J.J. Taylor,NE,RB141,14
516,13,Rodney Smith,CAR,RB142,13
517,13,Nick Westbrook-Ikhine,TEN,WR181,13
518,13,Marquise Goodwin,CHI,WR182,10
519,13,Tony Brooks-James,ATL,RB143,6
520,13,Lamar Miller,WAS,RB144,9
521,13,Blake Bortles,GB,QB47,13
522,13,Jaeden Graham,ATL,TE80,6
523,13,Chris Streveler,ARI,QB48,12
524,14,Mason Rudolph,PIT,QB49,7
525,14,Kalif Raymond,DET,WR183,9
526,14,Alex Erickson,HOU,WR184,10
527,14,Raymond Calais,LAR,RB145,11
528,14,KeeSean Johnson,ARI,WR185,12
529,14,Joe Reed,LAC,WR186,7
530,14,Jake Funk,LAR,RB146,11
531,14,Josh Adams,NYJ,RB147,6
532,14,Kaden Smith,NYG,TE81,10
533,15,Sam Ehlinger,IND,QB50,14
